gw0_x,gw0_y,an0_x,an0_y,an1_x,an1_y,en0_x,en0_y
0,0,86.4,-105.6,31.0,-153.8,54.9,-92.2
node_id,packet_id,rssi,snr,timestamp,ticks,temp,humi
GW0,00000,-95,6,1760662654,196647861,28.8,46.1
AN0,00000,-77,6,1760662654,196647219,28.8,46.1
AN1,00000,-67,8,1760662654,196647297,28.8,46.1
GW0,00001,-91,6,1760662685,196944624,28.5,46.9
AN0,00001,-82,6,1760662685,196944431,28.5,46.9
AN1,00001,-78,6,1760662685,196944694,28.5,46.9
GW0,00002,-91,7,1760662715,196923991,28.3,46.5
AN0,00002,-82,5,1760662715,196923549,28.3,46.4
AN1,00002,-78,6,1760662715,196923908,28.3,46.4
GW0,00003,-92,7,1760662745,195645959,28.0,46.7
AN0,00003,-83,6,1760662745,195645344,28.0,46.7
AN1,00003,-79,6,1760662745,195645405,28.0,46.7
GW0,00004,-91,6,1760662775,193511261,27.9,47.2
AN0,00004,-82,5,1760662775,193511001,27.9,47.3
AN1,00004,-76,5,1760662775,193511308,27.9,47.3
GW0,00005,-92,7,1760662805,191030490,27.9,47.7
AN0,00005,-83,6,1760662805,191030196,27.9,47.7
AN1,00005,-77,5,1760662805,191030562,27.9,47.7
GW0,00006,-92,6,1760662835,188914546,27.6,47.8
AN0,00006,-83,6,1760662835,188914266,27.6,47.8
AN1,00006,-79,5,1760662835,188914175,27.6,47.8
GW0,00007,-94,6,1760662865,185438613,27.5,48.4
AN0,00007,-81,6,1760662865,185437931,27.5,48.4
AN1,00007,-78,6,1760662865,185438315,27.5,48.4
GW0,00008,-93,6,1760662895,181873395,27.6,49.0
AN0,00008,-82,6,1760662895,181872680,27.6,49.0
AN1,00008,-78,6,1760662895,181873029,27.6,49.0
GW0,00009,-93,6,1760662925,177914122,28.0,48.5
AN0,00009,-83,6,1760662925,177913637,28.0,48.5
AN1,00009,-78,6,1760662925,177913965,28.0,48.5
GW0,00010,-93,6,1760662955,175167935,28.3,47.9
AN0,00010,-78,6,1760662955,175167833,28.3,47.9
AN1,00010,-78,6,1760662955,175168089,28.3,47.9
GW0,00011,-91,6,1760662985,172713129,28.5,46.8
AN0,00011,-84,6,1760662985,172712847,28.5,46.8
AN1,00011,-71,8,1760662985,172712947,28.5,46.8
GW0,00012,-94,6,1760663015,171048511,28.5,47.4
AN0,00012,-80,8,1760663015,171048439,28.5,47.4
AN1,00012,-77,6,1760663015,171048599,28.5,47.4
GW0,00013,-92,7,1760663045,170444940,28.4,47.2
AN0,00013,-79,7,1760663045,170444559,28.4,47.2
AN1,00013,-77,6,1760663045,170444599,28.4,47.2
GW0,00014,-91,7,1760663075,169651372,28.6,47.4
AN0,00014,-80,7,1760663075,169651060,28.6,47.4
AN1,00014,-78,6,1760663075,169651204,28.6,47.4
GW0,00015,-91,7,1760663105,168131894,28.7,47.5
AN0,00015,-80,8,1760663105,168131356,28.7,47.5
AN1,00015,-78,6,1760663105,168131731,28.7,47.5
GW0,00016,-90,7,1760663135,165647759,28.9,46.8
AN0,00016,-80,8,1760663135,165647074,28.9,46.8
AN1,00016,-76,6,1760663135,165647198,28.9,46.8
GW0,00017,-87,7,1760663165,164489489,28.3,47.0
AN0,00017,-80,7,1760663165,164488989,28.3,47.0
AN1,00017,-76,6,1760663165,164489750,28.3,47.0
GW0,00018,-91,7,1760663195,163806332,28.4,47.5
AN0,00018,-80,7,1760663195,163806100,28.4,47.5
AN1,00018,-76,6,1760663195,163806146,28.4,47.5
GW0,00019,-86,7,1760663225,162372150,28.5,46.7
AN0,00019,-78,7,1760663225,162371998,28.5,46.7
AN1,00019,-77,6,1760663225,162372054,28.5,46.7
GW0,00020,-86,7,1760663255,161665867,28.1,47.1
AN0,00020,-80,8,1760663255,161665582,28.1,47.1
AN1,00020,-76,6,1760663255,161665656,28.1,47.1
GW0,00021,-88,6,1760663285,160506242,28.0,47.4
AN0,00021,-81,7,1760663285,160505653,28.0,47.4
AN1,00021,-76,6,1760663285,160505938,28.0,47.4
GW0,00022,-87,7,1760663315,158918126,27.8,48.1
AN0,00022,-81,7,1760663315,158918058,27.8,48.1
AN1,00022,-75,6,1760663315,158918241,27.8,48.1
GW0,00023,-90,7,1760663345,157532167,28.0,47.8
AN0,00023,-81,7,1760663345,157531661,28.0,47.8
AN1,00023,-76,6,1760663345,157531683,28.0,47.8
GW0,00024,-90,7,1760663375,156504318,28.5,46.4
