gw0_x,gw0_y,an0_x,an0_y,an1_x,an1_y,en0_x,en0_y
0,0,85.7,-108.1,29.8,-155.5,11.0,-123.6
node_id,packet_id,rssi,snr,timestamp,ticks,temp,humi
GW0,00000,-79,7,1760335986,129531956,34.2,38.5
AN0,00000,-93,-5,1760335986,129532386,34.2,38.5
AN1,00000,-67,8,1760335986,129532089,34.2,38.5
GW0,00001,-82,8,1760336017,128716516,34.3,38.1
AN0,00001,-87,1,1760336017,128716102,34.3,38.1
AN1,00001,-69,7,1760336017,128716272,34.3,38.0
GW0,00002,-83,7,1760336047,128670308,34.4,37.5
AN0,00002,-85,1,1760336047,128670529,34.4,37.5
AN1,00002,-70,8,1760336047,128670328,34.4,37.5
GW0,00003,-82,8,1760336077,129259150,34.5,38.0
AN0,00003,-86,0,1760336077,129259361,34.5,38.0
AN1,00003,-71,8,1760336077,129259316,34.5,38.0
GW0,00004,-82,8,1760336107,130108565,34.5,37.4
AN0,00004,-87,0,1760336107,130108542,34.5,37.4
AN1,00004,-70,7,1760336107,130108344,34.5,37.4
GW0,00005,-81,8,1760336137,130590540,34.2,37.4
AN0,00005,-88,0,1760336137,130590433,34.2,37.4
AN1,00005,-69,8,1760336137,130590335,34.2,37.4
GW0,00006,-82,8,1760336167,130066891,34.2,37.2
AN0,00006,-86,1,1760336167,130066839,34.2,37.2
AN1,00006,-70,8,1760336167,130067109,34.2,37.1
GW0,00007,-81,8,1760336197,129486438,34.1,37.1
AN0,00007,-87,1,1760336197,129486311,34.1,37.1
AN1,00007,-71,8,1760336197,129486278,34.1,37.1
GW0,00008,-81,8,1760336227,130649411,34.0,38.2
AN0,00008,-87,1,1760336227,130649467,34.0,38.2
AN1,00008,-69,7,1760336227,130649898,34.0,38.2
GW0,00009,-80,8,1760336257,131195774,33.7,37.5
AN0,00009,-88,1,1760336257,131195850,33.7,37.5
AN1,00009,-70,8,1760336257,131195913,33.7,37.5
GW0,00010,-82,8,1760336287,131301309,33.8,37.6
AN0,00010,-87,1,1760336287,131301069,33.8,37.6
AN1,00010,-71,7,1760336287,131301509,33.8,37.6
GW0,00011,-82,8,1760336317,131345618,33.8,37.5
AN0,00011,-86,1,1760336317,131345952,33.8,37.5
AN1,00011,-71,7,1760336317,131346017,33.8,37.5
GW0,00012,-82,8,1760336347,132081402,33.9,37.2
AN0,00012,-87,1,1760336347,132081436,33.9,37.2
AN1,00012,-70,8,1760336347,132081625,33.9,37.2
GW0,00013,-82,8,1760336377,132734079,33.8,37.0
AN0,00013,-86,0,1760336377,132734044,33.8,37.0
AN1,00013,-71,8,1760336377,132734475,33.8,37.0
GW0,00014,-82,8,1760336407,133890694,33.9,37.0
AN0,00014,-87,1,1760336407,133890575,33.9,37.0
AN1,00014,-70,7,1760336407,133890760,33.9,37.0
GW0,00015,-82,8,1760336437,135210944,33.9,36.7
AN0,00015,-88,0,1760336437,135211007,33.9,36.7
AN1,00015,-71,7,1760336437,135211320,33.9,36.7
GW0,00016,-82,8,1760336467,136643796,34.1,38.0
AN0,00016,-87,2,1760336467,136644020,34.1,38.0
AN1,00016,-69,8,1760336467,136643884,34.1,38.0
GW0,00017,-82,8,1760336497,137186611,33.9,36.2
AN0,00017,-87,1,1760336497,137186504,33.9,36.2
AN1,00017,-71,8,1760336497,137186909,33.9,36.2
GW0,00018,-81,8,1760336527,138205071,33.5,37.0
AN0,00018,-87,1,1760336527,138204757,33.5,37.0
AN1,00018,-71,8,1760336527,138205412,33.5,37.0
GW0,00019,-81,8,1760336557,138568632,33.3,37.5
AN0,00019,-88,0,1760336557,138568061,33.3,37.5
AN1,00019,-71,8,1760336557,138568617,33.3,37.5
GW0,00020,-82,8,1760336587,139541586,33.4,37.8
AN0,00020,-85,1,1760336587,139541433,33.4,37.8
AN1,00020,-69,7,1760336587,139541627,33.4,37.8
GW0,00021,-81,8,1760336617,140546823,33.7,36.8
AN0,00021,-87,0,1760336617,140546355,33.7,36.8
AN1,00021,-69,7,1760336617,140546833,33.7,36.8
GW0,00022,-81,8,1760336647,142104488,33.7,37.1
AN0,00022,-87,0,1760336647,142104426,33.7,37.1
AN1,00022,-71,8,1760336647,142104842,33.7,37.1
GW0,00023,-81,8,1760336677,143984111,33.9,36.9
AN0,00023,-87,1,1760336677,143984390,33.9,36.9
AN1,00023,-71,8,1760336677,143984143,33.9,36.9
GW0,00024,-81,8,1760336707,145823645,33.8,37.7
AN0,00024,-87,2,1760336707,145823901,33.8,37.7
AN1,00024,-71,8,1760336707,145823896,33.8,37.7
GW0,00027,-82,8,1760336797,153459558,34.3,36.8
AN0,00027,-85,1,1760336797,153459654,34.3,36.8
AN1,00027,-69,7,1760336797,153459854,34.3,36.8
GW0,00028,-82,8,1760336827,157876724,34.0,36.4
AN0,00028,-85,1,1760336827,157877048,34.0,36.4
AN1,00028,-70,8,1760336827,157877335,34.0,36.4
GW0,00029,-82,8,1760336857,160498846,33.9,37.0
AN0,00029,-87,1,1760336857,160498765,33.9,37.0
AN1,00029,-71,8,1760336857,160499415,33.9,37.0
GW0,00030,-81,8,1760336887,163732522,34.0,37.2
AN0,00030,-85,1,1760336887,163732793,34.0,37.2
AN1,00030,-70,8,1760336887,163732853,34.0,37.2
GW0,00031,-82,8,1760336917,165921460,33.9,37.8
AN0,00031,-87,1,1760336917,165921473,33.9,37.8
AN1,00031,-69,7,1760336917,165922102,33.9,37.8
GW0,00032,-82,8,1760336947,167793025,33.8,38.3
AN0,00032,-85,1,1760336947,167792906,33.8,38.3
AN1,00032,-70,8,1760336947,167793343,33.8,38.3
GW0,00033,-82,9,1760336977,168700214,33.6,37.3
AN0,00033,-85,0,1760336977,168700569,33.6,37.3
AN1,00033,-70,8,1760336977,168700948,33.6,37.3
GW0,00034,-81,8,1760337007,170434839,33.3,37.9
AN0,00034,-86,0,1760337007,170435342,33.3,37.9
AN1,00034,-70,8,1760337007,170435530,33.3,37.9
GW0,00035,-80,8,1760337037,172416332,33.2,37.9
AN0,00035,-86,1,1760337037,172416020,33.2,37.9
AN1,00035,-70,8,1760337037,172416505,33.2,37.9
GW0,00036,-82,8,1760337067,174082422,33.3,38.0
AN0,00036,-87,2,1760337067,174082433,33.3,38.0
AN1,00036,-68,7,1760337067,174082996,33.3,38.0
GW0,00037,-82,7,1760337097,177175291,33.5,38.6
AN0,00037,-85,0,1760337097,177175293,33.5,38.6
AN1,00037,-68,7,1760337097,177175380,33.5,38.6
GW0,00038,-80,7,1760337127,180146897,33.9,38.7
AN0,00038,-85,0,1760337127,180146555,33.9,38.7
AN1,00038,-70,7,1760337127,180146792,33.9,38.7
GW0,00039,-82,8,1760337157,181042683,34.1,38.2
AN0,00039,-86,0,1760337157,181042960,34.1,38.2
AN1,00039,-69,8,1760337157,181043512,34.1,38.2
GW0,00040,-80,8,1760337187,181647408,34.2,37.4
AN0,00040,-87,1,1760337187,181647469,34.2,37.4
