gw0_x,gw0_y,an0_x,an0_y,an1_x,an1_y,en0_x,en0_y
0,0,0,0,0,0,0,1
node_id,packet_id,rssi,snr,timestamp,ticks,temp,humi
GW0,00000,-52,7,1760671670,147997292,37.8,30.6
AN0,00000,-51,7,1760671670,147997175,37.8,30.6
AN1,00000,-61,7,1760671670,147997372,37.8,30.4
GW0,00001,-68,8,1760671701,139401545,37.6,29.9
AN0,00001,-53,8,1760671701,139401751,37.6,29.9
AN1,00001,-53,7,1760671701,139401371,37.6,29.9
GW0,00002,-68,8,1760671731,131326854,37.4,30.3
AN0,00002,-53,8,1760671731,131326833,37.4,30.3
AN1,00002,-52,7,1760671731,131326717,37.4,30.3
GW0,00003,-68,7,1760671761,123021883,37.6,29.3
AN0,00003,-53,7,1760671761,123021737,37.6,29.3
AN1,00003,-52,8,1760671761,123021843,37.6,29.3
GW0,00004,-69,7,1760671791,113709421,37.4,29.6
AN0,00004,-53,7,1760671791,113709347,37.4,29.6
AN1,00004,-52,7,1760671791,113709159,37.4,29.6
GW0,00005,-70,7,1760671821,105451325,37.2,30.6
AN0,00005,-53,7,1760671821,105451097,37.2,30.6
AN1,00005,-52,7,1760671821,105451265,37.2,30.6
GW0,00006,-69,7,1760671851,96155228,37.3,31.6
AN0,00006,-53,8,1760671851,96154587,37.3,31.6
AN1,00006,-52,7,1760671851,96154643,37.3,31.6
GW0,00007,-69,8,1760671881,86286746,38.1,29.2
AN0,00007,-53,8,1760671881,86286857,38.1,29.2
AN1,00007,-51,7,1760671881,86286752,38.1,29.2
GW0,00008,-69,8,1760671911,77480721,38.5,29.1
AN0,00008,-53,8,1760671911,77480609,38.5,29.1
AN1,00008,-51,7,1760671911,77481063,38.5,29.1
GW0,00009,-68,7,1760671941,67686297,37.9,28.8
AN0,00009,-52,7,1760671941,67686053,38.0,28.8
AN1,00009,-51,6,1760671941,67686229,38.0,28.8
GW0,00010,-69,7,1760671971,58102119,38.1,28.2
AN0,00010,-53,8,1760671971,58097371,38.1,28.2
AN1,00010,-51,6,1760671971,58097780,38.1,28.2
GW0,00011,-69,8,1760672000,328240794,38.2,29.1
AN0,00011,-53,8,1760672000,328240165,38.2,29.1
AN1,00011,-53,7,1760672000,328240396,38.3,29.2
GW0,00012,-70,7,1760672030,318358343,39.0,28.6
AN0,00012,-53,7,1760672030,318358221,39.0,28.6
AN1,00012,-51,7,1760672030,318358012,39.1,28.4
GW0,00013,-71,8,1760672060,308767634,38.8,27.4
AN0,00013,-53,8,1760672060,308767224,38.8,27.4
AN1,00013,-53,7,1760672060,308767608,38.8,27.4
GW0,00014,-70,8,1760672090,299646162,38.2,29.2
AN0,00014,-53,7,1760672090,299645987,38.2,29.2
AN1,00014,-52,7,1760672090,299645795,38.2,29.2
GW0,00015,-71,8,1760672120,291389914,38.1,28.5
AN0,00015,-52,8,1760672120,291389246,38.1,28.3
AN1,00015,-52,8,1760672120,291389341,38.1,28.3
GW0,00016,-70,8,1760672150,282862746,37.9,29.3
AN0,00016,-52,7,1760672150,282862128,37.9,29.3
AN1,00016,-51,6,1760672150,282862141,37.9,29.3
GW0,00017,-71,8,1760672180,273134937,38.0,29.2
AN0,00017,-52,8,1760672180,273135002,38.0,29.2
AN1,00017,-51,7,1760672180,273135070,38.0,29.2
GW0,00018,-71,8,1760672210,264827062,38.1,29.1
AN0,00018,-53,8,1760672210,264826672,38.1,29.1
AN1,00018,-53,7,1760672210,264826463,38.1,29.1
GW0,00019,-71,8,1760672240,256491724,37.8,29.3
AN0,00019,-53,8,1760672240,256491426,37.8,29.3
AN1,00019,-53,7,1760672240,256491247,37.8,29.3
