gw0_x,gw0_y,an0_x,an0_y,an1_x,an1_y,en0_x,en0_y
0,0,0,0,0,0,0,8
node_id,packet_id,rssi,snr,timestamp,ticks,temp,humi
AN1,00152,-84,6,1760676227,241626433,38.2,31.0
GW0,00153,-78,8,1760676257,240296450,38.7,30.7
AN0,00153,-70,7,1760676257,240296631,38.7,30.7
AN1,00153,-84,5,1760676257,240296512,38.7,30.7
GW0,00154,-78,8,1760676287,239989474,39.3,29.5
AN0,00154,-74,8,1760676287,239989357,39.3,29.5
AN1,00154,-86,5,1760676287,239989832,39.3,29.5
GW0,00155,-77,8,1760676317,241227777,40.2,29.3
AN0,00155,-70,7,1760676317,241227844,40.2,29.3
AN1,00155,-91,1,1760676317,241227881,40.2,29.3
GW0,00156,-77,8,1760676347,241191137,39.7,29.2
AN0,00156,-70,8,1760676347,241191062,39.7,29.2
AN1,00156,-86,4,1760676347,241190861,39.7,29.2
GW0,00157,-79,8,1760676377,240170376,40.1,28.2
AN0,00157,-74,7,1760676377,240170341,40.1,28.2
AN1,00157,-92,1,1760676377,240170383,40.1,28.2
GW0,00158,-78,8,1760676407,239348983,39.8,28.7
AN0,00158,-74,7,1760676407,239348519,39.8,28.7
AN1,00158,-87,4,1760676407,239348596,39.8,28.7
GW0,00161,-77,8,1760676497,231776224,39.3,29.1
AN0,00161,-73,8,1760676497,231776102,39.3,29.1
AN1,00161,-86,5,1760676497,231775937,39.3,29.1
GW0,00162,-76,8,1760676527,229412321,39.2,29.6
AN0,00162,-74,7,1760676527,229412036,39.2,29.6
AN1,00162,-84,6,1760676527,229411793,39.2,29.6
GW0,00163,-79,8,1760676557,226764026,39.1,29.3
AN0,00163,-71,7,1760676557,226763815,39.1,29.3
AN1,00163,-84,5,1760676557,226763706,39.1,29.3
GW0,00164,-79,8,1760676587,224184283,39.5,29.8
AN0,00164,-74,8,1760676587,224184213,39.5,29.8
AN1,00164,-90,2,1760676587,224184244,39.5,29.8
GW0,00165,-75,8,1760676617,223062505,40.0,29.1
AN0,00165,-70,7,1760676617,223062547,40.0,29.1
AN1,00165,-82,7,1760676617,223062219,40.0,29.1
GW0,00166,-76,8,1760676647,221775932,40.5,28.6
AN0,00166,-73,8,1760676647,221776206,40.5,28.6
AN1,00166,-90,3,1760676647,221775940,40.5,28.6
GW0,00167,-78,8,1760676677,218844510,40.9,27.9
AN0,00167,-71,7,1760676677,218843941,40.9,27.9
AN1,00167,-84,5,1760676677,218844097,40.9,27.9
GW0,00168,-77,8,1760676707,216817528,39.6,28.6
AN0,00168,-70,7,1760676707,216817250,39.6,28.6
AN1,00168,-81,7,1760676707,216817504,39.6,28.6
GW0,00169,-78,8,1760676737,215180825,38.7,29.5
AN0,00169,-71,7,1760676737,215180845,38.7,29.5
AN1,00169,-84,5,1760676737,215180596,38.7,29.5
GW0,00170,-80,7,1760676767,213649534,38.6,31.0
AN0,00170,-74,8,1760676767,213649400,38.6,31.0
AN1,00170,-80,6,1760676767,213649100,38.6,31.0
GW0,00171,-78,8,1760676797,211146102,38.5,30.1
AN0,00171,-71,9,1760676797,211145858,38.5,30.1
AN1,00171,-86,4,1760676797,211145673,38.5,30.1
GW0,00172,-77,8,1760676827,208674442,38.8,30.5
AN0,00172,-74,8,1760676827,208674007,38.8,30.5
AN1,00172,-82,6,1760676827,208674177,38.8,30.5
GW0,00173,-75,7,1760676857,206216086,37.9,30.8
AN0,00173,-73,8,1760676857,206215975,37.9,30.8
AN1,00173,-81,6,1760676857,206216168,37.9,30.8
GW0,00174,-77,8,1760676887,203615662,36.7,32.1
AN0,00174,-74,8,1760676887,203615429,36.7,32.1
AN1,00174,-82,5,1760676887,203615487,36.7,32.1
GW0,00175,-78,8,1760676917,202179047,37.4,32.7
AN0,00175,-73,7,1760676917,202179077,37.4,32.7
AN1,00175,-84,5,1760676917,202179392,37.4,32.7
GW0,00176,-78,7,1760676947,199796303,38.2,31.1
AN0,00176,-73,7,1760676947,199795987,38.2,31.1
AN1,00176,-83,5,1760676947,199796352,38.2,31.1
GW0,00177,-79,8,1760676977,198050468,38.8,30.0
AN0,00177,-73,8,1760676977,198050203,38.8,30.0
AN1,00177,-85,5,1760676977,198050192,38.8,30.0
GW0,00178,-76,7,1760677007,195946289,38.8,30.0
AN0,00178,-73,8,1760677007,195946134,38.8,30.0
AN1,00178,-88,3,1760677007,195946765,38.8,30.0
GW0,00179,-77,8,1760677037,193237603,38.7,30.6
AN0,00179,-74,8,1760677037,193237146,38.7,30.6
AN1,00179,-84,6,1760677037,193237182,38.7,30.6
GW0,00180,-75,8,1760677067,190388247,39.3,30.2
AN0,00180,-73,8,1760677067,190388425,39.3,30.2
