gw0_x,gw0_y,an0_x,an0_y,an1_x,an1_y,en0_x,en0_y
0,0,85.9,-107.3,30.5,-154.1,10.8,-16.3
node_id,packet_id,rssi,snr,timestamp,ticks,temp,humi
AN1,00030,-79,6,1760327325,70513898,30.1,49.9
GW0,00031,-71,9,1760327355,69817018,30.4,50.5
AN0,00031,-90,0,1760327355,69817350,30.4,50.4
AN1,00031,-80,6,1760327355,69817243,30.4,50.4
GW0,00032,-70,7,1760327385,69568946,30.5,49.2
AN0,00032,-91,-3,1760327385,69569282,30.5,49.2
AN1,00032,-80,5,1760327385,69569400,30.5,49.2
GW0,00033,-73,9,1760327415,68195359,31.2,49.9
AN0,00033,-88,-1,1760327415,68195563,31.2,49.8
AN1,00033,-80,5,1760327415,68192058,31.2,49.8
GW0,00034,-71,8,1760327445,66555616,31.4,48.6
AN0,00034,-92,-4,1760327445,66555857,31.4,48.5
AN1,00034,-78,6,1760327445,66555772,31.4,48.5
GW0,00035,-71,8,1760327475,64604234,31.5,48.5
AN0,00035,-95,-4,1760327475,64603828,31.5,48.5
AN1,00035,-79,5,1760327475,64608187,31.5,48.5
GW0,00036,-71,8,1760327505,62724985,31.7,47.3
AN0,00036,-86,0,1760327505,62721273,31.7,47.3
AN1,00036,-79,5,1760327505,62721534,31.7,47.2
GW0,00040,-71,8,1760327624,335266421,31.3,47.3
AN0,00040,-91,-1,1760327624,335266005,31.3,47.3
AN1,00040,-80,5,1760327624,335266652,31.3,47.3
GW0,00041,-73,8,1760327654,333215870,31.1,47.8
AN0,00041,-89,-1,1760327654,333215491,31.1,47.8
AN1,00041,-80,6,1760327654,333216320,31.1,47.8
GW0,00042,-71,7,1760327684,331912280,30.9,48.5
AN0,00042,-87,1,1760327684,331911710,30.9,48.5
AN1,00042,-79,5,1760327684,331912642,30.9,48.5
GW0,00043,-73,7,1760327714,330380524,30.9,48.1
AN0,00043,-88,1,1760327714,330380585,30.9,48.2
AN1,00043,-79,5,1760327714,330381155,30.9,48.2
GW0,00044,-70,8,1760327744,328428844,30.9,48.6
AN0,00044,-89,-1,1760327744,328428656,30.9,48.6
AN1,00044,-78,5,1760327744,328429571,30.9,48.6
GW0,00045,-71,8,1760327774,327284685,31.0,49.6
AN0,00045,-95,-4,1760327774,327284525,31.0,49.6
AN1,00045,-79,6,1760327774,327284836,31.0,49.6
GW0,00046,-73,8,1760327804,325026926,31.4,49.0
AN0,00046,-90,0,1760327804,325026388,31.4,49.0
AN1,00046,-78,5,1760327804,325027177,31.4,49.0
GW0,00047,-71,8,1760327834,321441923,31.7,47.6
AN0,00047,-89,-1,1760327834,321441841,31.7,47.6
AN1,00047,-79,6,1760327834,321442151,31.7,47.6
GW0,00048,-71,8,1760327864,318382192,32.3,47.3
